doc,line,file,pred,gt,cer,time_ms
0b2c2464e662f5d4f44ebac6e14a099b,1,0b2c2464e662f5d4f44ebac6e14a099b_linea_01.jpg,Diario de una picsena con,Diario de una persona con,0.120000,1447.7
0b2c2464e662f5d4f44ebac6e14a099b,3,0b2c2464e662f5d4f44ebac6e14a099b_linea_03.jpg,y cuando menos púnsas es cuando hodo sacede.,Y cuando menos piensas es cuando todo sucede,0.136364,1184.3
0b2c2464e662f5d4f44ebac6e14a099b,4,0b2c2464e662f5d4f44ebac6e14a099b_linea_04.jpg,"cuándo , te sintes tua bien cartigo nlsma es","cuándo, te sientes tan bien contigo mismo es",0.204545,1482.1
0b2c2464e662f5d4f44ebac6e14a099b,5,0b2c2464e662f5d4f44ebac6e14a099b_linea_05.jpg,cuando de repente te suntes completamente —,cuando de repente te sientes completamente,0.095238,934.4
0b2c2464e662f5d4f44ebac6e14a099b,6,0b2c2464e662f5d4f44ebac6e14a099b_linea_06.jpg,distrozada y cominzas can todos esas piquentes,destrozada y comienzas con todas esas preguntas,0.191489,1370.7
0b2c2464e662f5d4f44ebac6e14a099b,7,0b2c2464e662f5d4f44ebac6e14a099b_linea_07.jpg,una y otra vez todo el día y todos los días.,una y otra vez todo el día y todos los días,0.023256,1184.3
0b2c2464e662f5d4f44ebac6e14a099b,8,0b2c2464e662f5d4f44ebac6e14a099b_linea_08.jpg,¿ En que momento perdiste el control de todo? .,¿En que momento perdiste el control de todo?,0.068182,1230.6
0b2c2464e662f5d4f44ebac6e14a099b,9,0b2c2464e662f5d4f44ebac6e14a099b_linea_09.jpg,¿ En que momento todo se turno tan difióí?,¿En que momento todo se tornó tan difícil?,0.166667,1380.7
0b2c2464e662f5d4f44ebac6e14a099b,10,0b2c2464e662f5d4f44ebac6e14a099b_linea_10.jpg,¿ Qué va eso que estaba tan mal para llorar y-,¿Qué era eso que estaba tan mal para llorar y,0.088889,1192.5
0b2c2464e662f5d4f44ebac6e14a099b,11,0b2c2464e662f5d4f44ebac6e14a099b_linea_11.jpg,santir la necesidad de que alguiía estuvera carffipo,sentir la necesidad de que alguien estuviera contigo,0.173077,1370.5
